,name,value,open_value,market_cap(억원),market_cap_rank
581,하나 코스피 변동성추세 추종 양매도 ETN,7305,7305,1826,
582,대창,1990,1990,1814,코스피583위
583,KBSTAR 코스닥150선물레버리지,14010,13590,1806,
584,한라,4610,4640,1792,코스피585위
585,포스코강판,29500,29200,1770,코스피586위
586,미원홀딩스,76200,76700,1768,코스피587위
587,유니온머티리얼,4195,4295,1762,코스피588위
588,DB,871,886,1752,코스피589위
589,KBSTAR 코스피,30985,30790,1751,
590,대성산업,3870,3500,1751,코스피591위
591,신세계건설,43550,44500,1742,코스피592위
592,TIGER 중국소비테마,8145,8060,1718,
593,영풍제지,7690,7700,1707,코스피594위
594,사조동아원,1205,1170,1701,코스피595위
595,비케이탑스,12950,13400,1700,코스피596위
596,디와이파워,15350,15550,1695,코스피597위
597,ARIRANG 고배당주,11220,11205,1693,
598,ARIRANG 코스피TR,15165,15055,1691,
599,동남합성,46700,47200,1686,코스피600위
600,성창기업지주,2415,2390,1684,코스피601위
601,KODEX 배당가치,12760,12640,1684,
602,KBSTAR 코스닥150,13835,13680,1682,
603,한국화장품제조,36900,36700,1672,코스피604위
604,인바이오젠,3240,3270,1671,코스피605위
605,백광산업,3700,3615,1662,코스피606위
606,벽산,2410,2425,1652,코스피607위
607,일동홀딩스,14300,14400,1650,코스피608위
608,카프로,4120,4100,1648,코스피609위
609,태경산업,5630,5680,1646,코스피610위
610,TIGER 단기채권액티브,50065,50060,1645,
611,강남제비스코,25300,24250,1644,코스피612위
612,에쓰씨엔지니어링,5710,5700,1643,코스피613위
613,HANARO 200TR,48985,48420,1641,
614,HDC아이콘트롤스,9920,9580,1633,코스피615위
615,삼일씨엔에스,12700,13000,1617,코스피616위
616,써니전자,4630,4600,1613,코스피617위
617,NH투자증권우,8530,8550,1610,코스피618위
618,코스맥스비티아이,16750,16250,1609,코스피619위
619,서울식품,440,465,1608,코스피620위
620,모나리자,4385,4380,1604,코스피621위
621,신라교역,9960,9810,1594,코스피622위
622,국동,4085,4045,1591,코스피623위
623,제이에스코퍼레이션,11900,11950,1587,코스피624위
624,KINDEX 단기통안채,100210,100205,1582,
625,신일전자,2220,2180,1577,코스피626위
626,노루홀딩스,11800,11700,1568,코스피627위
627,CJ씨푸드,4360,4325,1567,코스피628위
628,디와이,5930,6030,1561,코스피629위
629,동양철관,1305,1305,1551,코스피630위
630,한솔홈데코,1925,1915,1551,코스피631위
631,사조대림,16900,16600,1549,코스피632위
632,덕성,9850,10450,1544,코스피633위
633,한국패러랠,1930,1925,1544,
634,진양홀딩스,2745,2755,1534,코스피635위
635,대한화섬,115500,112000,1534,코스피636위
636,NPC,4165,4240,1529,코스피637위
637,일진디스플,4435,4400,1529,코스피638위
638,STX엔진,6640,6700,1528,코스피639위
639,까뮤이앤씨,3360,3400,1517,코스피640위
640,남성,4175,3580,1512,코스피641위
641,TIGER 미국S&P500,10700,10705,1509,
642,국제약품,8190,8020,1507,코스피643위
643,지엠비코리아,7860,7820,1499,코스피644위
644,디씨엠,12800,12700,1498,코스피645위
645,쌍방울,625,628,1496,코스피646위
646,한솔홀딩스,3555,3515,1493,코스피647위
647,두산우,37350,37850,1493,코스피648위
648,핸즈코퍼레이션,6820,6790,1491,코스피649위
649,한전산업,4570,4615,1490,코스피650위
650,깨끗한나라,4000,4040,1490,코스피651위
651,계양전기,4530,4570,1477,코스피652위
652,삼익악기,1630,1615,1476,코스피653위
653,KBSTAR IT플러스,21270,21160,1472,
654,유수홀딩스,5610,5680,1461,코스피655위
655,토니모리,8270,8250,1459,코스피656위
656,삼원강재,3645,3695,1458,코스피657위
657,일신석재,1880,1875,1456,코스피658위
658,태경케미컬,12550,12600,1456,코스피659위
659,샘표,50600,49700,1455,코스피660위
660,DL이앤씨우,68200,68300,1442,코스피661위
661,조선선재,114500,112500,1440,코스피662위
662,TIGER 미국S&P500선물(H),43870,43825,1437,
663,동아타이어,10450,10350,1435,코스피664위
664,대성에너지,5200,5250,1430,코스피665위
665,한창제지,2395,2400,1429,코스피666위
666,금강공업,4880,5000,1416,코스피667위
667,에이플러스에셋,6260,6160,1415,코스피668위
668,SG세계물산,699,710,1415,코스피669위
669,화성산업,11350,11350,1413,코스피670위
670,DRB동일,7030,6930,1401,코스피671위
671,마니커,705,700,1399,코스피672위
672,웰바이오텍,2975,2860,1399,코스피673위
673,이수페타시스,3390,3370,1399,코스피674위
674,두올,5150,5070,1394,코스피675위
675,세원셀론텍,1965,1980,1393,코스피676위
676,아모레G우,21550,21550,1389,코스피677위
677,일진전기,3735,3760,1385,코스피678위
678,삼화전기,20900,20800,1382,코스피679위
679,큐로,604,605,1372,코스피680위
680,TIGER 헬스케어,44260,44115,1372,
681,광전자,2355,2445,1365,코스피682위
682,SK우,241000,242500,1364,코스피683위
683,범양건영,5490,5520,1363,코스피684위
684,크라운해태홀딩스,9180,9240,1363,코스피685위
685,유니온,8700,8760,1358,코스피686위
686,삼일제약,20250,20050,1356,코스피687위
687,미원화학,61500,61900,1353,코스피688위
688,TIGER 차이나CSI300레버리지(합성),33805,33545,1352,
689,신한 인버스 2X 천연가스 선물 ETN(H),6760,6670,1352,
690,TIGER 차이나항셍테크,10975,11050,1350,
691,넥스트사이언스,4090,4040,1347,코스피692위
692,서원,2815,2765,1336,코스피693위
693,TIGER 현대차그룹+펀더멘털,25920,25355,1332,
694,황금에스티,9430,9210,1320,코스피695위
695,부산산업,125000,126000,1320,코스피696위
696,인터지스,4435,4305,1319,코스피697위
697,대우부품,2765,2735,1317,코스피698위
698,우리들제약,8950,8950,1317,코스피699위
699,대유에이텍,1225,1160,1310,코스피700위
700,한양증권,10250,10300,1305,코스피701위
701,KINDEX 미국S&P500,10765,10805,1292,
702,보락,2150,2145,1288,코스피703위
703,세이브존I&C,3135,3115,1287,코스피704위
704,KTcs,3005,2870,1283,코스피705위
705,남광토건,13050,13400,1283,코스피706위
706,유화증권,2260,2270,1281,코스피707위
707,보해양조,1000,977,1274,코스피708위
708,KR모터스,1325,1275,1274,코스피709위
709,TIGER 반도체,36440,35885,1261,
710,KODEX 국채선물10년인버스,47145,47245,1259,
711,티웨이홀딩스,1620,1600,1242,코스피712위
712,무림페이퍼,2985,2990,1242,코스피713위
713,한국공항,39200,39350,1241,코스피714위
714,KINDEX 미국나스닥100,10790,10765,1241,
715,삼성 인버스 2X 천연가스 선물 ETN B,24810,24570,1240,
716,형지엘리트,3980,3990,1240,코스피717위
717,크라운제과,9880,9840,1237,코스피718위
